title_pt;title_en;year;rating;genre;sinopse;sinopse_clean;title_pt_encoded;Cluster
A Mulher Faz o Homem;200. Mr. Smith Goes to Washington;1939;8.1;Comédia;Um homem ingênuo é eleito para ocupar uma vaga no Senado dos Estados Unidos. Seus planos colidem rapidamente com a corrupção política, mas ele não desiste.;Um homem ingênuo eleito ocupar vaga Senado Estados Unidos. Seus planos colidem rapidamente corrupção política, desiste.;14;3
Sociedade dos Poetas Mortos;201. Dead Poets Society;1989;8.1;Comédia;O professor de Inglés John Keating inspira a seus estudantes a ver a poesia duma perspectiva diferente.;O professor Inglés John Keating inspira estudantes ver poesia duma perspectiva diferente.;217;4
Monstros S.A.;202. Monsters, Inc.;2001;8.1;Animação;Para poder dar electricidade a sua cidade, os monstros tem que assustar a crianças. Pensando que as crianças são perigosas para eles, dois monstros acham que as coisas podem ser diferentes.;Para poder dar electricidade cidade, monstros assustar crianças. Pensando crianças perigosas eles, dois monstros acham coisas podem diferentes.;130;3
Como Treinar o Seu Dragão;203. How to Train Your Dragon;2010;8.1;Animação;Um jovem e desafortunado viking que aspira a caçar dragões se torna o improvável amigo de um jovem dragão, e descobre que pode haver mais nas criaturas do que ele supunha.;Um jovem desafortunado viking aspira caçar dragões torna improvável amigo jovem dragão, descobre pode criaturas supunha.;59;7
Mary e Max: Uma Amizade Diferente;204. Mary and Max;2009;8.1;Animação;Relata a estranha história de uma amizade entre dois amigos por correspondência: Mary, uma garota solitária de oito anos que vive nos subúrbios de Melbourne, e Max, um homem obeso de quarenta e quatro anos que vive em Nova York.;Relata estranha história amizade dois amigos correspondência: Mary, garota solitária oito anos vive subúrbios Melbourne, Max, homem obeso quarenta quatro anos vive Nova York.;122;2
Tubarão;205. Jaws;1975;8.1;Aventura;Quando um tubarão desencadea caos numa praia, um xerife, um biologista e um marinheiro daram caça ao animal.;Quando tubarão desencadea caos praia, xerife, biologista marinheiro daram caça animal.;232;7
O Sétimo Selo;206. The Seventh Seal;1957;8.1;Drama;Um homem procura respostas sobre a vida, a morte e a existência de Deus enquanto joga xadrez contra a morte durante a Morte Negra.;Um homem procura respostas sobre vida, morte existência Deus enquanto joga xadrez contra morte durante Morte Negra.;172;3
O Quarto de Jack;207. Room;2015;8.1;Drama;Um menino é mantido preso em um quarto com sua mãe desde seu nascimento, por isso sua visão do mundo é muito reduzida.;Um menino mantido preso quarto mãe desde nascimento, visão mundo reduzida.;160;3
O Grande Lebowski;208. The Big Lebowski;1998;8.1;Comédia;Jeff The Dude Lebowski, foi confundido por um millonário do mesmo nome e procurará restituçao com a ajuda do seus amigos.;Jeff The Dude Lebowski, confundido millonário nome procurará restituçao ajuda amigos.;148;4
Era uma Vez em Tóquio;209. Tokyo Story;1953;8.1;Drama;Um casal de idosos visita seus filhos e netos na cidade, mas recebe pouca atenção.;Um casal idosos visita filhos netos cidade, recebe pouca atenção.;75;7
Ford vs Ferrari;210. Ford v Ferrari;2019;8.1;Ação;Um designer de carros e um motorista combatem a interferência corporativa, as leis da física e seus próprios demônios pessoais para construir um carro de corrida revolucionário para a Ford e desafiar a Ferrari nas 24 Horas de Le Mans em 1966.;Um designer carros motorista combatem interferência corporativa, leis física próprios demônios pessoais construir carro corrida revolucionário Ford desafiar Ferrari 24 Horas Le Mans 1966.;82;1
Ratatouille;211. Ratatouille;2007;8.1;Animação;Um rato que pode cozinhar forja uma aliança incomum com um jovem garoto em um famoso restaurante em Paris.;Um rato pode cozinhar forja aliança incomum jovem garoto famoso restaurante Paris.;201;7
Hotel Ruanda;212. Hotel Rwanda;2004;8.1;Biografia;Paul Rusesabagina era o gerente de um hotel que abrigava mais de mil refugiados tutsis durante sua luta contra a milícia hutu em Ruanda.;Paul Rusesabagina gerente hotel abrigava mil refugiados tutsis durante luta contra milícia hutu Ruanda.;100;5
